filename,Artistic Categories,Score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood
00a79e928eee4bd7baad3a239d9673fd.png,traditional Chinese painting*meticulous*floral and avian,6.5,6.83,,6.5,6.83,6.33,5.83,5.83,7,6.5,6.5
00b86dc103e445d0b4f6a7d0b9ae6493.png,traditional Chinese painting*meticulous*floral and avian,7.5,8,,7.83,7.33,7.5,6.5,7.5,8.33,7.33,7
0183de8b426a467db8253c531c7d0bf9.png,traditional Chinese painting*meticulous*floral and avian,7.083,6.33,,6.67,7,6.67,6.5,6.17,6.83,6.5,6.83
0248c6bf14b6439794f5b9e6723ba16d.png,traditional Chinese painting*meticulous*floral and avian,7,7.33,,7.17,7,6.5,6.5,7.17,7.33,6.5,7
0375e5611aa3422c84cdc5bbacb8eed4.png,traditional Chinese painting*meticulous*floral and avian,6.5,6.83,,7,6.67,6.33,6,6.67,7,6.5,6
0a4a3b8ec7e84454bbbad29662c68b90.png,traditional Chinese painting*meticulous*floral and avian,3.167,4,,3.5,3,3.5,3.5,3.33,3.33,3.5,3.17
0a754b4b728844fa8b46ac60365362d5.png,traditional Chinese painting*meticulous*floral and avian,6.75,7,,6.33,6.17,6,6.17,7.33,7.5,7,6.83
0adbb6ffa8824a8283ffc95439d88c03.png,traditional Chinese painting*meticulous*floral and avian,6.417,6.5,,6.17,6,6.33,5.83,6,6.33,6.5,6.17
0b3f56d1e0e746e3a73b007c6d781934.png,traditional Chinese painting*meticulous*floral and avian,6.75,7.17,,6,5.83,6.5,5.83,6,6.83,6.17,6.33
0c3eb9ea9f6e45099dc897dea3787698.png,traditional Chinese painting*meticulous*floral and avian,6.75,7,,6,6.33,6.33,6.83,6.83,7.5,6.5,6.67
0cefe3ff7afa4c998f36f607b258a4b4.png,traditional Chinese painting*meticulous*floral and avian,7.333,7.33,,6.67,7,7,6.33,7.17,7.33,7,6.5
0f44cb68281943d6943145f9b1f15acd.png,traditional Chinese painting*meticulous*floral and avian,4.583,5.17,,4.33,3.83,3.83,4.17,4,3.67,4.33,3.83
1027507df2814376bf7ec0d56b7a935d.png,traditional Chinese painting*meticulous*floral and avian,6.5,6.5,,6.5,6.33,6.33,6.33,5.67,6.83,6.33,6.33
10c9b6fb55094bb08d155ce7c58fe8b5.png,traditional Chinese painting*meticulous*floral and avian,7.167,7.17,,7.33,6.83,6.67,6.5,6.67,7.5,7.17,6.5
122dfb4cc5014403aee8801cfa1f5167.png,traditional Chinese painting*meticulous*floral and avian,2.5,3.67,,3,2.67,2.83,2.5,2.33,2.33,3,2.5
12522e18b2204c4d9a2b4a464d1f8786.png,traditional Chinese painting*meticulous*floral and avian,6.917,6.5,,6.67,6.67,6.17,6.33,6.67,6.83,7,6.33
19eac3826ccb4fa59b3640e64cee2f1a.png,traditional Chinese painting*meticulous*floral and avian,6.5,7,,6.33,6.83,5.83,6,6.33,7.33,6.17,7
1fa036c902b54939a6cd46447a8b9027.png,traditional Chinese painting*meticulous*floral and avian,7.667,7.67,,7.83,6.67,7.5,7,7.5,8,7.17,8.17
20e71c44dfc64ce2b4d10b3a793b3b84.png,traditional Chinese painting*meticulous*floral and avian,6.333,7,,6.33,6.5,6.83,6.5,5.83,7.17,6.5,6
22b64d28f0454ce395e8eb7efbd0468e.png,traditional Chinese painting*meticulous*floral and avian,6.833,6.83,,6.83,6.67,6.67,6.83,6.83,6.83,6.5,6.33
230becf1e0474feebef2013b00c8cb5e.png,traditional Chinese painting*meticulous*floral and avian,6.833,5.83,,6.67,7,6,6.33,7,6.83,7,5.83
271f40b3887d4e829498746265722d73.png,traditional Chinese painting*meticulous*floral and avian,6.5,6,,5.67,5.5,5.5,6,6.17,6.5,6,5.83
290dcbbaccce425ab12eab3319295e8d.png,traditional Chinese painting*meticulous*floral and avian,7.75,7.5,,7.33,6.67,6.67,7,7.33,7.67,7.17,7.83
29836e71a2b24f19949de6eaf0f81095.png,traditional Chinese painting*meticulous*floral and avian,7.25,6.83,,7.67,6.33,7,6.83,7.33,7.67,7.17,7.17
29ed43d8b23641f5be59c36a0591a8af.png,traditional Chinese painting*meticulous*floral and avian,3.25,4.17,,3.67,2.5,3.17,2.83,2.67,2.67,3.33,3
2a6e3ed00fa24838a57c76cc71894a51.png,traditional Chinese painting*meticulous*floral and avian,7.25,7,,7,6.5,6.5,6.33,6.83,7.5,7.17,6.83
2aa590fc27744ab49cdd833d3bf37e74.png,traditional Chinese painting*meticulous*floral and avian,7,6.67,,6.5,6.5,6.67,6.33,6.33,7.17,7.17,6.33
2b81ce61033a45e5bbdda899a57ac35f.png,traditional Chinese painting*meticulous*floral and avian,6.833,7,,6.83,6.83,6.83,6.33,7,7.17,6.67,6.83
2daa0c8e41974fccad85c10b4b8eb0b0.png,traditional Chinese painting*meticulous*floral and avian,6.333,7.33,,6.33,6.33,6.17,5.83,5.67,6.67,6.17,5.67
2f983ebf846541ceabdf2145133d2e8d.png,traditional Chinese painting*meticulous*floral and avian,6,6.5,,5.83,5.5,5.83,5.5,6,6.33,5.83,5.33
2fd93a2f7b0340e9b9c4d9b1d96a61d4.png,traditional Chinese painting*meticulous*floral and avian,6.833,7.33,,6.5,6.5,6.83,6.67,6.83,6.83,6.83,6.33
310d7100f8954fbaa7abb64649306c8e.png,traditional Chinese painting*meticulous*floral and avian,2.833,4,,3.33,2,2.83,2.33,2.83,2.33,3.17,2.83
3162ae8751124b73bfd312a82315cff1.png,traditional Chinese painting*meticulous*floral and avian,7,7.5,,6.5,7,6.83,6.33,6,7.5,7.17,6.33
322764ea37e448f8821894ec42bd6c05.png,traditional Chinese painting*meticulous*floral and avian,2.583,3.83,,3,2.5,2.5,2.33,2.67,2.33,3,2.67
